date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:07	70934/70934	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jun%202021%2017:45:00%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/blogs.html	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/blogs.html	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:07	57680/57680	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jun%202021%2017:45:00%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/signup.html	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/signup.html	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:08	12224/12224	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2008%20Apr%202019%2019:44:04%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/images/site/app_store_badge.svg	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/images/site/app_store_badge.svg	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:09	8981/8981	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2008%20Apr%202019%2019:44:04%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/images/site/google-play-badge.svg	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/images/site/google-play-badge.svg	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:10	133328/133328	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jun%202021%2017:45:00%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/seller-profile.html	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/seller-profile.html	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:11	6393/6393	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202019%2019:44:04%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/images/site/payment/master_card.png	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/images/site/payment/master_card.png	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:11	3608/3608	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202019%2019:44:04%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/images/site/payment/visa_card.png	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/images/site/payment/visa_card.png	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:11	3918/3918	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202019%2019:44:04%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/images/site/payment/paypal.png	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/images/site/payment/paypal.png	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:12	5737/5737	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202019%2019:44:04%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/images/site/payment/american_express_card.png	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/images/site/payment/american_express_card.png	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:13	4735/4735	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202019%2019:44:04%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/images/site/payment/discover_network_card.png	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/images/site/payment/discover_network_card.png	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:13	84545/84545	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202019%2014:50:00%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/images/add2.jpg	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/images/add2.jpg	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:13	2868/2868	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202019%2019:44:04%20GMT	http://templatecycle.com/demo/bootclassified-6/dist/images/site/payment/google_wallet.png	C:/Users/Samuel/Downloads/job%20hunt2/templatecycle.com/demo/bootclassified-6/dist/images/site/payment/google_wallet.png	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
00:46:18	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/Samuel/Downloads/job%20hunt2/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://templatecycle.com/demo/bootclassified-6/dist/job-home.html)
